"Dispatch Number","Dispatch Date","Source Store","Destination Store",Status,"Product Name",Category,Vendor,Barcode,"Unit Price",Quantity
DSP-20260304-5CCF03,"2026-03-04 13:48:43",OFFICE,SHOWROOM,Delivered,"MONIPURI SAREE - AN1-35",,"AN1--ANIS FACTORY",N/A,"1,550.00",1
DSP-20260304-805C0D,"2026-03-04 13:35:37",OFFICE,SHOWROOM,Delivered,"Deshio Block Saree - DE1-1",,"DE1--DESHIO FACTORY",N/A,"2,250.00",1
DSP-20260304-805C0D,"2026-03-04 13:35:37",OFFICE,SHOWROOM,Delivered,"Deshio Block Saree - DE1-1",,"DE1--DESHIO FACTORY",N/A,"2,250.00",1
DSP-20260304-805C0D,"2026-03-04 13:35:37",OFFICE,SHOWROOM,Delivered,"Deshio Block Saree - DE1-2",,"DE1--DESHIO FACTORY",N/A,"2,250.00",1
DSP-20260304-805C0D,"2026-03-04 13:35:37",OFFICE,SHOWROOM,Delivered,"Deshio Block Saree - DE1-2",,"DE1--DESHIO FACTORY",N/A,"2,250.00",1
DSP-20260304-805C0D,"2026-03-04 13:35:37",OFFICE,SHOWROOM,Delivered,"Deshio Block Saree - DE1-3",,"DE1--DESHIO FACTORY",N/A,"2,250.00",1
DSP-20260304-805C0D,"2026-03-04 13:35:37",OFFICE,SHOWROOM,Delivered,"Deshio Block Saree - DE1-3",,"DE1--DESHIO FACTORY",N/A,"2,250.00",1
DSP-20260304-40D7D5,"2026-03-04 13:09:55",OFFICE,SHOWROOM,Delivered,"DESHIO COTTON KURTI - DE1-WHITE - 40",,"DE1--DESHIO FACTORY",N/A,780.00,1
DSP-20260304-5E33F3,"2026-03-04 13:09:12",OFFICE,SHOWROOM,Delivered,"Cotton Co-ords - DE1-1 - 38",,"DE1--DESHIO FACTORY",N/A,"1,580.00",1
DSP-20260304-D63CB2,"2026-03-04 13:09:03",OFFICE,SHOWROOM,Delivered,"DESHIO COTTON KURTI - DE1-WHITE - 40",,"DE1--DESHIO FACTORY",N/A,780.00,1
DSP-20260304-F3C800,"2026-03-04 12:32:41",SHOWROOM,OFFICE,Delivered,"PREMIUM CATALOUGE PARTY 3PIECE - SF1-1",,"SF1--SHAH FABRICS",N/A,"2,650.00",1
DSP-20260304-5B2597,"2026-03-04 11:59:08",OFFICE,SHOWROOM,Delivered,"Neckpiece - Neckpiece - 6",,"JM1--JAMAL ENTERPRICE",N/A,950.00,1
DSP-20260304-82A9AF,"2026-03-04 11:50:07",OFFICE,SHOWROOM,Delivered,"DESHI JOYPURI 3PIECE - FA1-5",,"FA1-FASHION 3PIECE",N/A,"1,500.00",1
DSP-20260303-902175,"2026-03-03 22:20:18",OFFICE,SHOWROOM,Delivered,"COTTON TONTUJ SAREE - TA1-33",,"TA1--TANGAIL SAREE HOUSE",N/A,"1,650.00",1
DSP-20260303-0B0591,"2026-03-03 21:01:17",OFFICE,SHOWROOM,Delivered,"Cotton 3Piece - KO1-3",,"KO1--KOLKATA FASHION B.D",N/A,"2,000.00",1
DSP-20260303-0B0591,"2026-03-03 21:01:17",OFFICE,SHOWROOM,Delivered,"Cotton 3Piece - KO1-9",,"KO1--KOLKATA FASHION B.D",N/A,"2,000.00",1
DSP-20260303-E7E945,"2026-03-03 19:52:33",OFFICE,SHOWROOM,Delivered,"DESHIO BLOCK 3PIECE - DE1-18",,"DE1--DESHIO FACTORY",N/A,"1,150.00",1
DSP-20260303-17A856,"2026-03-03 19:51:54",OFFICE,SHOWROOM,Delivered,"DESHI JOYPURI 3PIECE - FA1-5",,"FA1-FASHION 3PIECE",N/A,"1,500.00",1
DSP-20260303-17A856,"2026-03-03 19:51:54",OFFICE,SHOWROOM,Delivered,"DESHI JOYPURI 3PIECE - FA1-5",,"FA1-FASHION 3PIECE",N/A,"1,500.00",1
DSP-20260303-17A856,"2026-03-03 19:51:54",OFFICE,SHOWROOM,Delivered,"DESHI JOYPURI 3PIECE - FA1-5",,"FA1-FASHION 3PIECE",N/A,"1,500.00",1
DSP-20260303-9A0DD2,"2026-03-03 19:50:58",OFFICE,SHOWROOM,Delivered,"DESHI JOYPURI 3PIECE - FA1-5",,"FA1-FASHION 3PIECE",N/A,"1,500.00",1
DSP-20260303-9A0DD2,"2026-03-03 19:50:58",OFFICE,SHOWROOM,Delivered,"DESHI JOYPURI 3PIECE - FA1-5",,"FA1-FASHION 3PIECE",N/A,"1,500.00",1
DSP-20260303-9A0DD2,"2026-03-03 19:50:58",OFFICE,SHOWROOM,Delivered,"DESHI JOYPURI 3PIECE - FA1-5",,"FA1-FASHION 3PIECE",N/A,"1,500.00",1
DSP-20260303-9A0DD2,"2026-03-03 19:50:58",OFFICE,SHOWROOM,Delivered,"JAMDANI 3PIECE - TA1-27",,"TA1--TANGAIL SAREE HOUSE",N/A,"1,850.00",1
DSP-20260303-8CDCAF,"2026-03-03 19:50:11",OFFICE,SHOWROOM,Delivered,"DESHI JOYPURI 3PIECE - FA1-8",,"FA1-FASHION 3PIECE",N/A,"1,500.00",1
